PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,#1 Venue,#2 Venue,#3 Venue,#4 Venue,#5 Venue
M1B,Scarborough,"Rouge, Malvern",43.8066863,-79.19435340000003,1,Fast Food Restaurant,Chinese Restaurant,Bakery,Coffee Shop,Breakfast Spot
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.16049709999999,1,Fast Food Restaurant,Chinese Restaurant,Bakery,Coffee Shop,Breakfast Spot
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,1,Fast Food Restaurant,Chinese Restaurant,Bakery,Coffee Shop,Breakfast Spot
M1G,Scarborough,Woburn,43.7709921,-79.21691740000001,1,Fast Food Restaurant,Chinese Restaurant,Bakery,Coffee Shop,Breakfast Spot
M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999998,1,Fast Food Restaurant,Chinese Restaurant,Bakery,Coffee Shop,Breakfast Spot
M1J,Scarborough,Scarborough Village,43.7447342,-79.23947609999998,1,Fast Food Restaurant,Chinese Restaurant,Bakery,Coffee Shop,Breakfast Spot
M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.7279292,-79.26202940000002,1,Fast Food Restaurant,Chinese Restaurant,Bakery,Coffee Shop,Breakfast Spot
M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.7111117,-79.2845772,1,Fast Food Restaurant,Chinese Restaurant,Bakery,Coffee Shop,Breakfast Spot
M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.716316,-79.23947609999998,1,Fast Food Restaurant,Chinese Restaurant,Bakery,Coffee Shop,Breakfast Spot
M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481,1,Fast Food Restaurant,Chinese Restaurant,Bakery,Coffee Shop,Breakfast Spot
